video,prompt_id,prompt_name,prompt_difficulty,fps,steps,cfg,seed,latency,clip_score,clip_consistency,warp_error
scene_008_left-forward,2,Weather: Rainy,Easy,8,10,1.0,43,20.429208517074585,0.29046642780303955,0.9655222296714783,134.43522857298854
scene_008_left-forward,2,Weather: Rainy,Easy,8,10,1.0,44,20.33811116218567,0.28639477491378784,0.9705175161361694,136.59815802217707
scene_008_left-forward,2,Weather: Rainy,Easy,8,10,1.0,45,20.4300479888916,0.3003247380256653,0.9656743407249451,131.0852024386193
scene_008_left-forward,2,Weather: Rainy,Easy,8,12,1.0,43,21.54949140548706,0.2860416769981384,0.9648362994194031,134.77448815088087
scene_008_left-forward,2,Weather: Rainy,Easy,8,12,1.0,44,21.31171417236328,0.28423550724983215,0.9762893915176392,136.2757771551992
scene_008_left-forward,2,Weather: Rainy,Easy,8,12,1.0,45,21.74376630783081,0.2975827157497406,0.9689702987670898,131.3023232721881
scene_008_left-forward,2,Weather: Rainy,Easy,8,14,1.0,43,22.74187397956848,0.2806471884250641,0.9670514464378357,134.53812411016318
scene_008_left-forward,2,Weather: Rainy,Easy,8,14,1.0,44,22.481281042099,0.2849656939506531,0.9755334258079529,136.018153301921
scene_008_left-forward,2,Weather: Rainy,Easy,8,14,1.0,45,22.69626784324646,0.29126426577568054,0.9692445993423462,131.15111495152843
scene_008_left-forward,2,Weather: Rainy,Easy,8,16,1.0,43,24.96534824371338,0.2912583351135254,0.9694303274154663,134.04819426322996
scene_008_left-forward,2,Weather: Rainy,Easy,8,16,1.0,44,25.17974853515625,0.2907814681529999,0.9748868942260742,135.95904217544327
scene_008_left-forward,2,Weather: Rainy,Easy,8,16,1.0,45,24.66309666633606,0.3044605851173401,0.9687774181365967,131.20224678541203
scene_008_left-forward,2,Weather: Rainy,Easy,8,20,1.0,43,28.497875213623047,0.2913620173931122,0.9652843475341797,133.7947775135141
scene_008_left-forward,2,Weather: Rainy,Easy,8,20,1.0,44,28.4652841091156,0.29434463381767273,0.9744812250137329,135.8362654846578
scene_008_left-forward,2,Weather: Rainy,Easy,8,20,1.0,45,28.554523706436157,0.304532915353775,0.9709457755088806,130.81694734464682
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,1.0,43,36.46562933921814,0.29295486211776733,0.9677566885948181,133.81929341822845
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,1.0,44,36.65901064872742,0.2969314754009247,0.9726700782775879,135.3434046619217
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,1.0,45,36.54335856437683,0.3085533380508423,0.9699209928512573,130.69686454088324
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.0,43,24.547146797180176,0.2722831964492798,0.9724162817001343,135.67100286874373
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.0,44,24.504369020462036,0.26632043719291687,0.9803417921066284,138.6068197036129
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.0,45,24.554680347442627,0.2795421779155731,0.9771851897239685,134.6988933583798
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.2,43,27.120744228363037,0.2876829206943512,0.9680031538009644,134.73800635617738
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.2,44,26.829020977020264,0.28133049607276917,0.976601779460907,137.0945972989887
